country,capital,capital:de,capital:es,capital:fr,capital:nb,capital:cs,capital:ru,capital:nl,capital:sv,capital:pt,capital:zh,capital:pl,capital:it,capital:da,capital:el
England,London,London,Londres,Londres,London,Londýn,Лондон,Londen,London,Londres,伦敦(London),Londyn,Londra,London,Λονδίνο
Scotland,Edinburgh,Edinburgh,Edimburgo,Édimbourg,Edinburgh,Edinburgh,Эдинбург,Edinburgh,Edinburgh,Edimburgo,爱丁堡(Edinburgh),Edynburg,Edimburgo,Edinburgh,Εδιμβούργο
United Kingdom,London,London,Londres,Londres,London,Londýn,Лондон,Londen,London,Londres,伦敦(London),Londyn,Londra,London,Λονδίνο
Northern Ireland,Belfast,Belfast,Belfast,Belfast,Belfast,Belfast,Белфаст,Belfast,Belfast,Belfaste,贝尔法斯特(Belfast),Belfast,Belfast,Belfast,Μπέλφαστ
France,Paris,Paris,París,Paris,Paris,Paříž,Париж,Parijs,Paris,Paris,巴黎(Paris),Paryż,Parigi,Paris,Παρίσι
Wales,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Кардифф,Cardiff,Cardiff,Cardife,卡迪夫(Cardiff),Cardiff,Cardiff,Cardiff,Κάρντιφ
Georgia,Tbilisi,Tiflis,Tiflis,Tbilissi,Tbilisi,Tbilisi,Тбилиси,Tbilisi,Tbilisi,Tiblissi,第比利斯(Tbilisi),Tbilisi,Tbilisi,Tbilisi,Τιφλίδα
Germany,Berlin,Berlin,Berlín,Berlin,Berlin,Berlín,Берлин,Berlijn,Berlin,Berlim,柏林(Berlin),Berlin,Berlino,Berlin,Βερολίνο
Greece,Athens,Athen,Atenas,Athènes,Aten,Athény,Афины,Athene,Aten,Atenas,雅典(Athens),Ateny,Atene,Athen,Αθήνα
Greenland,Nuuk,Nuuk,Nuuk,Nuuk,Nuuk,Nuuk,Нуук,Nuuk,Nuuk,Nuque,努克(Nuuk),Nuuk,Nuuk,Nuuk,Νουούκ
Hungary,Budapest,Budapest,Budapest,Budapest,Budapest,Budapešť,Будапешт,Boedapest,Budapest,Budapeste,布达佩斯(Budapest),Budapeszt,Budapest,Budapest,Βουδαπέστη
Albania,Tirana,Tirana,Tirana,Tirana,Tirana,Tirana,Тирана,Tirana,Tirana,Tirana,地拉那(Tirana),Tirana,Tirana,Tirana,Τιράνα
Andorra,Andorra la Vella,Andorra la Vella,Andorra la Vieja,Andorre-la-Vieille,Andorra la Vella,Andorra la Vella,Андорра-ла-Велья,Andorra la Vella,Andorra la Vella,Andorra-a-Velha,安道尔城(Andorra la Vella),Andora,Andorra la Vella,Andorra la Vella,Ανδόρρα λα Βέλια
Austria,Vienna,Wien,Viena,Vienne,Wien,Vídeň,Вена,Wenen,Wien,Viena,维也纳(Vienna),Wiedeń,Vienna,Wien,Βιέννη
Azerbaijan,Baku,Baku,Bakú,Bakou,Baku,Baku,Баку,Bakoe,Baku,Bacu,巴库(Baku),Baku,Baku,Baku,Μπακού
Belarus,Minsk,Minsk,Minsk,Minsk,Minsk,Minsk,Минск,Minsk,Minsk,Minsque,明斯克(Minsk),Mińsk,Minsk,Minsk,Μινσκ
Belgium,Brussels,Brüssel,Bruselas,Bruxelles,Brussel,Brusel,Брюссель,Brussel,Bryssel,Bruxelas,布鲁塞尔(Brussels),Bruksela,Bruxelles,Bruxelles,Βρυξέλλες
Bosnia and Herzegovina,Sarajevo,Sarajevo,Sarajevo,Sarajevo,Sarajevo,Sarajevo,Сараево,Sarajevo,Sarajevo,Sarajevo,萨拉热窝(Sarajevo),Sarajewo,Sarajevo,Sarajevo,Σαράγεβο
Bulgaria,Sofia,Sofia,Sofía,Sofia,Sofia,Sofie,София,Sofia,Sofia,Sófia,索菲亚(Sofia),Sofia,Sofia,Sofia,Σόφια
Croatia,Zagreb,Zagreb,Zagreb,Zagreb,Zagreb,Záhřeb,Загреб,Zagreb,Zagreb,Zagrebe,萨格勒布(Zagreb),Zagrzeb,Zagabria,Zagreb,Ζάγκρεμπ
Czech Republic,Prague,Prag,Praga,Prague,Praha,Praha,Прага,Praag,Prag,Praga,布拉格(Prague),Praga,Praga,Prag,Πράγα
Denmark,Copenhagen,Kopenhagen,Copenhague,Copenhague,København,Kodaň,Копенгаген,Kopenhagen,Köpenhamn,"Copenhague (BR), Copenhaga (PT)",哥本哈根(Copenhagen),Kopenhaga,Copenaghen,København,Κοπεγχάγη
Estonia,Tallinn,Tallinn,Tallin,Tallinn,Tallinn,Tallinn,Таллинн,Tallinn,Tallinn,Talim,塔林(Tallinn),Tallinn,Tallinn,Tallinn,Ταλίν
Faroe Islands,Tórshavn,Tórshavn,Tórshavn,Tórshavn,Tórshavn,Tórshavn,Торсхавн,Tórshavn,Tórshavn,Tórshavn,托尔斯港(Tórshavn),Thorshavn,Tórshavn,Thorshavn,Τόρσχαβν
Finland,Helsinki,Helsinki,Helsinki,Helsinki,Helsingfors,Helsinky,Хельсинки,Helsinki,Helsingfors,"Helsinque (BR), Helsínquia (PT)",赫尔辛基(Helsinki),Helsinki,Helsinki,Helsinki,Χέλσινκι
Iceland,Reykjavík,Reykjavík,Reikiavik,Reykjavik,Reykjavík,Reykjavík,Рейкьявик,Reykjavik,Reykjavik,Reiquiavique,雷克雅未克(Reykjavík),Reykjavík,Reykjavík,Reykjavík,Ρέικιαβικ
Ireland,Dublin,Dublin,Dublín,Dublin,Dublin,Dublin,Дублин,Dublin,Dublin,Dublim,都柏林(Dublin),Dublin,Dublino,Dublin,Δουβλίνο
Italy,Rome,Rom,Roma,Rome,Roma,Řím,Рим,Rome,Rom,Roma,罗马(Rome),Rzym,Roma,Rom,Ρώμη
Latvia,Riga,Riga,Riga,Riga,Riga,Riga,Рига,Riga,Riga,Riga,里加(Riga),Ryga,Riga,Riga,Ρίγα
Liechtenstein,Vaduz,Vaduz,Vaduz,Vaduz,Vaduz,Vaduz,Вадуц,Vaduz,Vaduz,Vaduz,瓦杜兹(Vaduz),Vaduz,Vaduz,Vaduz,Βαντούζ
Lithuania,Vilnius,Vilnius,Vilna,Vilnius,Vilnius,Vilnius,Вильнюс,Vilnius,Vilnius,Vilnius,维尔纽斯(Vilnius),Wilno,Vilnius,Vilnius,Βίλνιους
Luxembourg,Luxembourg City,Luxemburg,Luxemburgo,Luxembourg,Luxembourg,Lucemburk,город Люксембург,Luxemburg,Luxemburg,Luxemburgo,卢森堡市(Luxembourg City),Luksemburg,Lussemburgo,Luxembourg,Πόλη του Λουξεμβούργου
North Macedonia,Skopje,Skopje,Skopie,Skopje,Skopje,Skopje,Скопье,Skopje,Skopje,Escópia,斯科普里(Skopje),Skopje,Skopje,Skopje,Σκόπια
Malta,Valletta,Valletta,La Valeta,La Valette,Valletta,Valletta,Валлетта,Valletta,Valletta,Valeta,瓦莱塔(Valletta),Valletta,La Valletta,Valletta,Βαλέτα
Moldova,Chișinău,Chișinău,Chisináu,Chișinău,Chisinau,Kišiněv,Кишинёв,Chișinău,Chișinău,Quixinau,基希讷乌(Chișinău),Kiszyniów,Chișinău,Chisinau,Κισινάου
Monaco,Monaco,Monaco,Mónaco,Monaco,Monaco,Monaco-Ville,Монако,Monaco,Monaco,"Mônaco (BR), Mónaco (PT)",摩纳哥(Monaco),Monako,Comune di Monaco,Monaco,Μονακό
Montenegro,Podgorica,Podgorica,Podgorica,Podgorica,Podgorica,Podgorica,Подгорица,Podgorica,Podgorica,Podgorica,波德戈里察(Podgorica),Podgorica,Podgorica,Podgorica,Ποντγκόριτσα
